season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2016,2,8474567,Zach Bogosian,Bogosian,BUF,D,R,64,7,17,24,0.375,-11,68,121,0.05785,1340.8593,4,17,3,6,0,1,0,1,NA
2016,2,8474569,Colin Wilson,Wilson,NSH,C,L,64,6,18,24,0.375,-1,14,108,0.05555,867.3906,5,23,1,1,0,0,0,0,0.4
2016,2,8471769,Niklas Hjalmarsson,Hjalmarsson,CHI,D,L,81,2,22,24,0.29629,13,32,77,0.02597,1342.6913,2,19,0,2,0,3,0,0,NA
2016,2,8473504,Cal Clutterbuck,Clutterbuck,NYI,R,R,77,15,8,23,0.2987,7,22,80,0.1875,714.961,13,20,0,0,2,3,1,5,0.33333
2016,2,8467370,Mike Fisher,Fisher,NSH,C,R,70,13,10,23,0.32857,-14,29,98,0.13265,1029.7857,10,17,3,5,0,1,0,2,0.5344
2016,2,8475722,Jason Zucker,Zucker,MIN,L,L,71,13,10,23,0.32394,-4,20,158,0.08227,934.7464,12,19,0,2,1,2,1,1,1
2016,2,8474098,Colton Sceviour,Sceviour,DAL,C,R,71,11,12,23,0.32394,6,21,125,0.088,760.6619,10,19,1,3,0,1,0,1,0.375
2016,2,8475220,Marcus Foligno,Foligno,BUF,L,L,75,10,13,23,0.30666,4,79,81,0.12345,791.0666,8,19,0,2,2,2,0,2,0.25
2016,2,8475250,Andrej Nestrasil,Nestrasil,CAR,C,L,55,9,14,23,0.41818,4,8,105,0.08571,861.0545,7,21,2,2,0,0,0,1,0.32
2016,2,8476855,Nail Yakupov,Yakupov,EDM,R,L,60,8,15,23,0.38333,-16,24,127,0.06299,853.3,7,17,1,6,0,0,0,1,0
2016,2,8474218,Jason Demers,Demers,DAL,D,R,62,7,16,23,0.37096,16,72,94,0.07446,1252.0806,3,17,3,5,1,1,0,1,NA
2016,2,8476880,Tom Wilson,Wilson,WSH,R,R,82,7,16,23,0.28048,3,163,99,0.0707,774.7682,7,21,0,1,0,1,0,1,0.57142
2016,2,8468309,Mark Streit,Streit,PHI,D,L,62,6,17,23,0.37096,-1,18,110,0.05454,1312.4677,4,15,2,8,0,0,0,1,NA
2016,2,8474027,Justin Braun,Braun,SJS,D,R,80,4,19,23,0.2875,11,36,114,0.03508,1233.5625,4,22,0,1,0,0,0,0,NA
2016,2,8468483,Marian Gaborik,Gaborik,LAK,R,L,54,12,10,22,0.4074,-6,20,142,0.0845,896.6666,11,18,1,4,0,0,2,3,0.33333
2016,2,8469759,Vernon Fiddler,Fiddler,DAL,C,L,82,12,10,22,0.26829,5,31,98,0.12244,698.4146,9,16,1,2,2,4,0,0,0.50724
2016,2,8471232,Lauri Korpikoski,Korpikoski,EDM,L,L,71,10,12,22,0.30985,-17,10,88,0.11363,835.8169,7,15,2,6,1,1,1,2,0.52941
2016,2,8470358,Alexandre Burrows,Burrows,VAN,R,L,79,9,13,22,0.27848,-13,49,135,0.06666,910.1898,7,16,2,6,0,0,0,0,0.45454
2016,2,8473579,Nikolay Kulemin,Kulemin,NYI,L,L,81,9,13,22,0.2716,13,22,92,0.09782,843.6543,9,22,0,0,0,0,0,3,0.38983
2016,2,8474062,Riley Nash,Nash,CAR,C,R,64,9,13,22,0.34375,-5,18,76,0.11842,777.375,7,16,2,6,0,0,0,1,0.49487
2016,2,8475768,Jaden Schwartz,Schwartz,STL,L,L,33,8,14,22,0.66666,8,8,63,0.12698,1032.2121,7,17,1,5,0,0,1,1,0.46875
2016,2,8476806,JT Brown,Brown,TBL,R,R,78,8,14,22,0.28205,16,59,140,0.05714,801.6794,8,20,0,0,0,2,0,0,0.46
2016,2,8474207,Nick Holden,Holden,COL,D,L,82,6,16,22,0.26829,-1,24,98,0.06122,1312.8292,6,21,0,1,0,0,0,0,NA
