"game_id","event_idx","situation_code","for_team_id","against_team_id","for_players","against_players","for_team_abbrev","against_team_abbrev"
"2010020001",173,"1551","8","10","8467831;8469521;8470672;8470678;8471679;8474189","8462044;8465200;8469464;8469474;8470283;8474568","MTL","TOR"
"2010020001",178,"1541","8","10","8470324;8470603;8470678;8471678;8471679;8474189","8462044;8467937;8469460;8471371;8474125","MTL","TOR"
"2010020001",179,"1551","8","10","8470603;8470672;8470678;8471678;8471679;8474189","8462044;8467400;8470602;8471346;8474568;8475098","MTL","TOR"
"2010020001",180,"1551","8","10","8470603;8470672;8470678;8471678;8471679;8474189","8462044;8467400;8470602;8471346;8474568;8475098","MTL","TOR"
"2010020001",185,"1551","10","8","8462044;8465200;8469464;8469474;8470283;8474568","8459628;8467351;8467407;8468463;8470324;8471679","TOR","MTL"
"2010020001",189,"1551","10","8","8462044;8469460;8470667;8471362;8473579;8474125","8467439;8468635;8471310;8471679;8471768;8474056","TOR","MTL"
"2010020001",191,"1551","8","10","8467439;8468635;8471310;8471679;8471768;8474056","8462044;8469460;8470667;8471362;8473579;8474125","MTL","TOR"
"2010020001",195,"1551","8","10","8459628;8469521;8470324;8470603;8471679;8474189","8462044;8467400;8470602;8471346;8473548;8475098","MTL","TOR"
"2010020001",196,"1551","8","10","8459628;8469521;8470324;8470603;8471679;8474189","8462044;8467400;8470602;8471346;8473548;8475098","MTL","TOR"
"2010020001",197,"1551","10","8","8462044;8467400;8470602;8471346;8473548;8475098","8459628;8469521;8470324;8470603;8471679;8474189","TOR","MTL"
"2010020001",199,"1551","8","10","8469521;8470654;8470672;8470678;8471679;8474189","8462044;8465200;8469464;8473548;8474568;8475098","MTL","TOR"
"2010020001",201,"1551","8","10","8467831;8470654;8470672;8470678;8471679;8474189","8462044;8465200;8469464;8473548;8474568;8475098","MTL","TOR"
"2010020001",204,"1451","10","8","8462044;8465200;8470602;8470667;8471362;8473579","8467351;8467407;8467439;8471679;8474056","TOR","MTL"
"2010020001",207,"1451","10","8","8462044;8465200;8470602;8470667;8471362;8473579","8467439;8467831;8469521;8471679;8474056","TOR","MTL"
"2010020001",212,"1451","10","8","8462044;8465200;8470602;8471346;8473548;8475098","8459628;8469521;8470324;8470654;8471679","TOR","MTL"
"2010020001",217,"1551","8","10","8459628;8467351;8467407;8468463;8470324;8471679","8462044;8467400;8470602;8471346;8473548;8475098","MTL","TOR"
"2010020001",223,"1551","10","8","8462044;8469460;8470667;8471362;8473579;8474125","8467439;8469521;8470603;8471679;8474056;8474189","TOR","MTL"
"2010020001",225,"1551","10","8","8462044;8465200;8467937;8468778;8471371;8474568","8468635;8470672;8470678;8471310;8471679;8471768","TOR","MTL"
"2010020001",227,"1551","8","10","8468635;8470672;8470678;8471310;8471679;8471768","8462044;8465200;8467400;8468778;8471371;8475098","MTL","TOR"
"2010020001",230,"1551","8","10","8459628;8467831;8470324;8470654;8471678;8471679","8462044;8467400;8469460;8471346;8473548;8475098","MTL","TOR"
"2010020001",231,"1551","8","10","8459628;8467831;8470324;8470654;8471678;8471679","8462044;8467400;8469460;8471346;8473548;8475098","MTL","TOR"
"2010020001",232,"1551","8","10","8459628;8467831;8470324;8470654;8471678;8471679","8462044;8467400;8469460;8471346;8473548;8475098","MTL","TOR"
"2010020001",236,"1551","8","10","8467351;8467407;8467439;8468635;8471679;8474056","8462044;8469464;8469474;8470283;8474125;8474568","MTL","TOR"
"2010020001",238,"1551","8","10","8467351;8467407;8467439;8468635;8471679;8474056","8462044;8467400;8469464;8469474;8470283;8474125","MTL","TOR"
"2010020001",243,"1551","10","8","8462044;8469460;8470667;8471362;8473579;8474125","8459628;8470324;8470654;8471310;8471679;8471768","TOR","MTL"
"2010020001",251,"1551","10","8","8462044;8465200;8469464;8471362;8473579;8474125","8467351;8467407;8468635;8470672;8470678;8471679","TOR","MTL"
"2010020001",254,"1551","10","8","8462044;8465200;8467400;8470667;8471362;8473579","8459628;8467831;8470324;8470654;8471678;8471679","TOR","MTL"
"2010020001",257,"1551","10","8","8462044;8469460;8470667;8471362;8473579;8474125","8459628;8467831;8470324;8470654;8471678;8471679","TOR","MTL"
"2010020001",260,"1551","8","10","8459628;8470672;8471310;8471679;8471768;8474189","8462044;8469460;8471346;8473548;8474125;8475098","MTL","TOR"
"2010020001",261,"1551","10","8","8462044;8467400;8471346;8473548;8474568;8475098","8470672;8471310;8471679;8471768;8474056;8474189","TOR","MTL"
"2010020001",266,"1451","10","8","8462044;8467400;8471346;8473548;8474568;8475098","8459628;8467831;8468635;8470324;8471679","TOR","MTL"
"2010020001",270,"1551","8","10","8459628;8469521;8470324;8470603;8471679;8474189","8462044;8465200;8470667;8471362;8473579;8474568","MTL","TOR"
"2010020001",275,"1551","10","8","8462044;8469460;8470667;8471362;8473579;8474125","8459628;8469521;8470324;8470603;8471679;8474189","TOR","MTL"
"2010020001",277,"1551","10","8","8462044;8465200;8470283;8471346;8473548;8474568","8467831;8470654;8470678;8471678;8471679;8474056","TOR","MTL"
"2010020001",279,"1551","8","10","8467351;8467407;8470672;8470678;8471678;8471679","8462044;8465200;8469464;8469474;8471362;8474568","MTL","TOR"
"2010020001",280,"1551","10","8","8462044;8467400;8470602;8470667;8471362;8473579","8467407;8470324;8470672;8471310;8471679;8471768","TOR","MTL"
"2010020001",292,"1451","10","8","8462044;8470602;8470667;8471362;8473579;8474568","8459628;8470324;8470654;8471310;8471679","TOR","MTL"
"2010020001",295,"1551","10","8","8462044;8465200;8470602;8471346;8473548;8475098","8459628;8470324;8470654;8471310;8471679;8471768","TOR","MTL"
"2010020002",3,"1551","4","5","8470604;8470617;8470640;8470666;8471236;8475683","8468498;8469760;8470543;8470594;8471215;8471675","PHI","PIT"
"2010020002",8,"1551","4","5","8459670;8464975;8468486;8470601;8474551;8475683","8465951;8468674;8470594;8471274;8471311;8473914","PHI","PIT"
"2010020002",11,"1551","4","5","8459670;8464975;8468486;8470601;8474551;8475683","8465951;8468674;8470594;8471274;8471311;8473914","PHI","PIT"
"2010020002",12,"1551","5","4","8468674;8470594;8471274;8471311;8473914;8474025","8459670;8470597;8470601;8473512;8474037;8475683","PIT","PHI"
"2010020002",14,"1551","4","5","8459670;8468486;8470601;8473512;8474551;8475683","8468674;8470594;8471274;8471311;8473914;8474025","PHI","PIT"
"2010020002",15,"1551","5","4","8467964;8468542;8470594;8471215;8471724;8474025","8459670;8470597;8470601;8473512;8474037;8475683","PIT","PHI"
"2010020002",18,"1551","4","5","8458637;8470604;8470617;8470666;8471756;8475683","8465166;8467336;8468674;8470171;8470594;8471274","PHI","PIT"
"2010020002",19,"1551","5","4","8465166;8467336;8468498;8468674;8470171;8470594","8458637;8470604;8470617;8470666;8471756;8475683","PIT","PHI"
"2010020002",22,"1551","5","4","8466393;8468498;8469760;8470543;8470594;8471675","8459670;8464975;8467361;8468486;8470601;8475683","PIT","PHI"
"2010020002",23,"1551","5","4","8466393;8468498;8469760;8470543;8470594;8471675","8459670;8464975;8467361;8468486;8470601;8475683","PIT","PHI"
"2010020002",26,"1551","4","5","8464975;8468486;8470640;8471236;8474551;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",27,"1551","4","5","8464975;8468486;8470640;8471236;8474551;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",28,"1551","4","5","8464975;8468486;8470640;8471236;8474551;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",30,"1551","5","4","8465951;8468542;8470594;8471311;8471724;8473914","8464975;8470640;8471756;8474037;8474551;8475683","PIT","PHI"
"2010020002",32,"1551","4","5","8470597;8470601;8471756;8473512;8474037;8475683","8465951;8467964;8468674;8470594;8471311;8471724","PHI","PIT"
"2010020002",41,"1551","5","4","8466393;8468498;8469760;8470543;8470594;8471675","8459670;8470601;8470604;8470617;8470666;8475683","PIT","PHI"
"2010020002",43,"1551","4","5","8459670;8470601;8470604;8470617;8470666;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",44,"1551","4","5","8470601;8470604;8470617;8470640;8470666;8475683","8466393;8468498;8469760;8470543;8470594;8471675","PHI","PIT"
"2010020002",50,"1551","5","4","8465951;8468542;8470594;8471311;8471724;8473914","8458637;8462535;8467361;8470601;8473932;8475683","PIT","PHI"
"2010020002",54,"1551","5","4","8465951;8468674;8470594;8471274;8471311;8473914","8458637;8462535;8470601;8473512;8473932;8475683","PIT","PHI"
