season,game_type,player_id,team_abbrev,game_date,dist_all_mi,toi_all_sec,dist_even_mi,toi_even_sec,dist_pp_mi,toi_pp_sec,home
2024,2,8479407,NJD,2024-03-29,2.7612,1093,2.2099,861,0.5513,232,0
2024,2,8479407,NJD,2024-03-26,3.1319,1159,2.5139,888,0.3435,172,0
2024,2,8480803,EDM,2024-04-17,3.1843,1329,2.707,1134,0.4517,184,0
2024,2,8480803,EDM,2024-04-15,2.6814,1122,2.6814,1122,NA,NA,1
2024,2,8480803,EDM,2024-04-13,3.5402,1540,3.1059,1348,0.4343,192,1
2024,2,8480803,EDM,2024-04-12,3.3161,1339,3.0798,1238,0.2364,101,1
2024,2,8480803,EDM,2024-04-10,3.1104,1271,2.5706,1079,0.5398,192,1
2024,2,8480803,EDM,2024-04-06,3.3614,1429,2.327,998,0.997,415,0
2024,2,8480803,EDM,2024-04-05,2.9999,1224,2.1123,897,0.8876,327,1
2024,2,8480803,EDM,2024-04-03,3.5371,1438,2.7114,1078,0.814,355,0
2024,2,8480803,EDM,2024-04-01,3.2382,1301,2.8106,1150,0.4276,151,0
2024,2,8480803,EDM,2024-03-30,3.4982,1460,3.0089,1249,0.4682,201,1
2024,2,8474564,TBL,2024-04-17,2.6274,1140,2.0562,749,0.5674,388,1
2024,2,8474564,TBL,2024-04-15,2.9194,1138,2.5164,929,0.4031,209,1
2024,2,8474564,TBL,2024-04-13,2.8199,1104,2.6249,984,0.1949,120,0
2024,2,8474564,TBL,2024-04-11,3.0726,1220,2.4201,875,0.6524,345,1
2024,2,8474564,TBL,2024-04-09,2.4708,980,2.2274,800,0.2435,180,1
2024,2,8474564,TBL,2024-04-06,2.2902,1020,1.7703,658,0.5199,362,0
2024,2,8474564,TBL,2024-04-04,2.4479,1028,1.9389,710,0.509,318,0
2024,2,8474564,TBL,2024-04-03,2.2855,998,1.8238,728,0.4618,270,0
2024,2,8474564,TBL,2024-04-01,2.5319,1097,2.1136,808,0.4183,289,1
2024,2,8474564,TBL,2024-03-30,2.4779,956,2.3208,872,0.1571,84,1
2024,2,8477493,FLA,2024-04-16,3.1701,1234,1.7967,682,1.1585,442,1
2024,2,8477493,FLA,2024-04-13,3.6562,1333,2.5325,853,1.0313,443,1
2024,2,8477493,FLA,2024-04-11,2.8627,1042,2.2373,811,0.4297,167,1
2024,2,8477493,FLA,2024-04-09,3.3019,1228,2.0784,756,0.8609,328,1
2024,2,8477493,FLA,2024-04-06,3.3201,1239,2.385,860,0.5339,222,0
2024,2,8477493,FLA,2024-04-04,2.606,945,2.0178,695,0.2486,104,0
2024,2,8477493,FLA,2024-04-02,3.1593,1244,2.0453,764,0.6509,266,0
2024,2,8477493,FLA,2024-04-01,3.365,1303,2.2007,880,0.9015,317,0
2024,2,8477493,FLA,2024-03-30,3.5263,1327,2.9409,1019,0.124,87,1
2024,2,8477493,FLA,2024-03-28,3.0622,1148,2.2326,817,0.2694,120,1
2024,2,8478445,NYI,2024-04-15,2.9459,1050,2.7966,964,0.1494,86,0
2024,2,8478445,NYI,2024-04-13,4.1419,1542,3.2151,1180,0.9267,362,0
2024,2,8478445,NYI,2024-04-11,4.1693,1547,3.3651,1250,0.8042,297,1
2024,2,8478445,NYI,2024-04-09,3.2681,1246,2.9185,1098,0.3496,148,1
2024,2,8478445,NYI,2024-04-06,3.0585,1077,2.8566,1003,0.2018,74,1
2024,2,8478445,NYI,2024-04-04,3.361,1216,2.9112,985,0.4498,231,0
2024,2,8478445,NYI,2024-04-02,3.4661,1251,3.1632,1143,0.3029,108,1
2024,2,8478445,NYI,2024-04-01,3.348,1185,3.0188,1066,0.3292,119,0
2024,2,8478445,NYI,2024-03-30,3.2922,1140,3.2771,1140,NA,NA,0
2024,2,8478445,NYI,2024-03-28,2.8446,1048,1.9878,714,0.8568,334,0
2024,2,8480027,DAL,2024-04-17,3.3566,1226,2.8607,1023,0.4959,203,1
2024,2,8480027,DAL,2024-04-13,2.8017,1035,2.4499,887,0.3517,148,1
2024,2,8480027,DAL,2024-04-11,3.1002,1171,2.9062,1068,0.194,103,1
2024,2,8480027,DAL,2024-04-09,2.2487,885,2.0118,780,0.2369,105,1
2024,2,8480027,DAL,2024-04-07,2.9465,1115,2.6997,993,0.2468,122,0
2024,2,8480027,DAL,2024-04-06,3.3713,1317,2.951,1089,0.4203,228,0
2024,2,8480027,DAL,2024-04-03,2.5635,977,1.9531,718,0.6104,259,1
2024,2,8480027,DAL,2024-03-30,2.9644,1094,2.5255,910,0.4389,184,0
2024,2,8480027,DAL,2024-03-28,2.4845,1016,1.8502,691,0.6342,325,0
2024,2,8480027,DAL,2024-03-26,2.7345,1009,2.1693,773,0.5211,236,0
2024,2,8475786,EDM,2024-04-17,2.3228,1064,2.0645,903,0.2582,161,0
2024,2,8475786,EDM,2024-04-15,2.4475,952,2.4475,952,NA,NA,1
2024,2,8475786,EDM,2024-04-13,2.8372,1211,2.624,1039,0.2132,172,1
2024,2,8475786,EDM,2024-04-12,3.0342,1225,2.8479,1124,0.1863,101,1
2024,2,8475786,EDM,2024-04-10,2.6915,1143,2.3204,918,0.3711,225,1
2024,2,8475786,EDM,2024-04-06,2.3458,1055,1.8563,697,0.4895,358,0
2024,2,8475786,EDM,2024-04-05,2.7268,1197,2.223,865,0.5038,332,1
2024,2,8475786,EDM,2024-04-03,2.5863,1220,2.1002,868,0.4861,352,0
2024,2,8475786,EDM,2024-04-01,2.9368,1239,2.6144,1067,0.2819,159,0
2024,2,8475786,EDM,2024-03-30,2.1148,916,1.8381,719,0.2767,197,1
2024,2,8476389,NYR,2024-04-15,3.7156,1369,2.963,1044,0.5705,243,1
2024,2,8476389,NYR,2024-04-13,3.9095,1473,2.9404,1070,0.2557,120,1
2024,2,8476389,NYR,2024-04-11,3.2263,1252,2.3069,869,0.5635,242,1
2024,2,8476389,NYR,2024-04-09,3.4827,1443,2.7623,1067,0.4516,234,0
2024,2,8476389,NYR,2024-04-07,2.8766,1128,2.4644,917,0.2799,152,1
2024,2,8476389,NYR,2024-04-05,2.8279,1109,2.1105,745,0.477,248,0
2024,2,8476389,NYR,2024-04-03,4.1027,1571,3.052,1160,0.6528,266,1
2024,2,8476389,NYR,2024-04-01,3.6792,1390,2.7646,1011,0.5778,262,1
2024,2,8476389,NYR,2024-03-30,3.2483,1206,2.9869,1094,NA,NA,0
2024,2,8476389,NYR,2024-03-28,3.2158,1214,2.6042,942,0.4044,179,0
2024,2,8477404,"PIT,CAR",2024-04-14,2.7244,966,2.4847,855,0.2397,111,0
2024,2,8477404,"PIT,CAR",2024-04-12,3.0741,1080,2.8002,970,0.2739,110,0
2024,2,8477404,"PIT,CAR",2024-04-09,3.083,1039,2.7383,894,0.3447,145,0
