season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,5,PIT,R Circle,21,238,0.0882
2026,2,5,PIT,R Corner,0,0,0
2026,2,5,PIT,R Net Side,7,61,0.1148
2026,2,5,PIT,R Point,3,118,0.0254
2026,2,4,PHI,Behind the Net,3,21,0.1429
2026,2,4,PHI,Beyond Red Line,4,79,0.0506
2026,2,4,PHI,Center Point,7,174,0.0402
2026,2,4,PHI,Crease,24,85,0.2824
2026,2,4,PHI,High Slot,41,228,0.1798
2026,2,4,PHI,L Circle,20,220,0.0909
2026,2,4,PHI,L Corner,0,11,0
2026,2,4,PHI,L Net Side,2,40,0.05
2026,2,4,PHI,L Point,9,122,0.0738
2026,2,4,PHI,Low Slot,78,542,0.1439
2026,2,4,PHI,Offensive Neutral Zone,6,39,0.1538
2026,2,4,PHI,Outside L,6,119,0.0504
2026,2,4,PHI,Outside R,4,83,0.0482
2026,2,4,PHI,R Circle,29,184,0.1576
2026,2,4,PHI,R Corner,0,3,0
2026,2,4,PHI,R Net Side,4,42,0.0952
2026,2,4,PHI,R Point,3,96,0.0313
2026,2,15,WSH,Behind the Net,1,10,0.1
2026,2,15,WSH,Beyond Red Line,9,88,0.1023
2026,2,15,WSH,Center Point,12,199,0.0603
2026,2,15,WSH,Crease,13,56,0.2321
2026,2,15,WSH,High Slot,41,204,0.201
2026,2,15,WSH,L Circle,15,235,0.0638
2026,2,15,WSH,L Corner,0,4,0
2026,2,15,WSH,L Net Side,9,61,0.1475
2026,2,15,WSH,L Point,2,145,0.0138
2026,2,15,WSH,Low Slot,111,627,0.177
2026,2,15,WSH,Offensive Neutral Zone,3,52,0.0577
2026,2,15,WSH,Outside L,8,114,0.0702
2026,2,15,WSH,Outside R,4,102,0.0392
2026,2,15,WSH,R Circle,21,199,0.1055
2026,2,15,WSH,R Corner,0,3,0
2026,2,15,WSH,R Net Side,3,43,0.0698
2026,2,15,WSH,R Point,9,158,0.057
2026,2,54,VGK,Behind the Net,2,17,0.1176
2026,2,54,VGK,Beyond Red Line,4,76,0.0526
2026,2,54,VGK,Center Point,8,216,0.037
2026,2,54,VGK,Crease,25,90,0.2778
2026,2,54,VGK,High Slot,31,224,0.1384
2026,2,54,VGK,L Circle,15,197,0.0761
2026,2,54,VGK,L Corner,0,3,0
2026,2,54,VGK,L Net Side,5,46,0.1087
2026,2,54,VGK,L Point,3,159,0.0189
2026,2,54,VGK,Low Slot,121,628,0.1927
2026,2,54,VGK,Offensive Neutral Zone,3,83,0.0361
2026,2,54,VGK,Outside L,5,120,0.0417
2026,2,54,VGK,Outside R,9,125,0.072
2026,2,54,VGK,R Circle,16,210,0.0762
2026,2,54,VGK,R Corner,0,7,0
2026,2,54,VGK,R Net Side,15,56,0.2679
2026,2,54,VGK,R Point,2,120,0.0167
2026,2,22,EDM,Behind the Net,2,23,0.087
2026,2,22,EDM,Beyond Red Line,2,62,0.0323
2026,2,22,EDM,Center Point,6,178,0.0337
2026,2,22,EDM,Crease,26,109,0.2385
2026,2,22,EDM,High Slot,38,236,0.161
2026,2,22,EDM,L Circle,27,227,0.1189
2026,2,22,EDM,L Corner,0,3,0
2026,2,22,EDM,L Net Side,12,85,0.1412
2026,2,22,EDM,L Point,5,161,0.0311
2026,2,22,EDM,Low Slot,116,613,0.1892
2026,2,22,EDM,Offensive Neutral Zone,4,57,0.0702
2026,2,22,EDM,Outside L,7,129,0.0543
2026,2,22,EDM,Outside R,7,129,0.0543
2026,2,22,EDM,R Circle,19,213,0.0892
2026,2,22,EDM,R Corner,0,3,0
2026,2,22,EDM,R Net Side,8,80,0.1
2026,2,22,EDM,R Point,3,131,0.0229
2026,2,59,UTA,Behind the Net,0,18,0
2026,2,59,UTA,Beyond Red Line,8,80,0.1
2026,2,59,UTA,Center Point,9,175,0.0514
2026,2,59,UTA,Crease,16,68,0.2353
2026,2,59,UTA,High Slot,30,184,0.163
2026,2,59,UTA,L Circle,20,210,0.0952
2026,2,59,UTA,L Corner,0,7,0
2026,2,59,UTA,L Net Side,12,68,0.1765
2026,2,59,UTA,L Point,3,156,0.0192
