"player_id","season","shot_vol_off_per60","shot_vol_def_per60"
"8469501",2012,-3.3799,0.9217
"8469506",2012,-0.8526,-0.5248
"8469508",2012,-3.4883,-3.155
"8469516",2012,1.102,-0.1159
"8469521",2012,1.5837,-4.2003
"8469531",2012,1.3286,-1.7337
"8469534",2012,-0.3155,-0.1895
"8469542",2012,-1.4118,1.9354
"8469544",2012,5.8253,2.3785
"8469547",2012,-1.4294,-1.9969
"8469555",2012,3.1374,-2.8436
"8469581",2012,3.1357,6.7763
"8469582",2012,-1.576,-1.0232
"8469591",2012,3.3671,2.6781
"8469598",2012,4.2995,0.7307
"8469619",2012,0.0076,-0.4823
"8469622",2012,1.8022,-0.1193
"8469623",2012,3.9846,2.5984
"8469626",2012,-5.2051,-0.4193
"8469638",2012,1.9909,-3.3607
"8469639",2012,1.0545,-4.5637
"8469664",2012,7.7306,2.713
"8469665",2012,-2.1485,0.7009
"8469684",2012,2.4197,-2.074
"8469685",2012,-0.2638,5.6742
"8469707",2012,1.9888,0.9908
"8469755",2012,-0.4365,0.8812
"8469759",2012,-0.5139,-4.8641
"8469760",2012,-2.9963,-0.2011
"8469765",2012,4.2892,2.4045
"8469770",2012,2.5959,-2.7222
"8469779",2012,2.2604,4.1777
"8469812",2012,3.919,-1.4169
"8469820",2012,-3.3084,-0.4596
"8469992",2012,-1.1876,-4.6608
"8470005",2012,-0.2688,-0.8322
"8470018",2012,-0.1635,2.6821
"8470039",2012,1.0709,0.1872
"8470041",2012,3.6169,-6.6785
"8470047",2012,-2.5618,-6.7376
"8470054",2012,0.5347,-1.0971
"8470061",2012,1.4046,0.2659
"8470063",2012,-2.0432,-1.0118
"8470104",2012,-1.6306,2.685
"8470105",2012,-0.0942,3.2034
"8470110",2012,4.715,-4.5952
"8470120",2012,4.3483,1.4468
"8470121",2012,0.2847,-0.6872
"8470123",2012,-3.9632,4.4569
"8470137",2012,-1.1209,-1.4631
"8470144",2012,0.4959,1.82
"8470151",2012,-4.3251,-1.2549
"8470152",2012,-1.0907,0.2928
"8470153",2012,2.3968,2.7912
"8470156",2012,-1.5667,0.2778
"8470159",2012,-2.977,-0.7126
"8470162",2012,1.2183,1.0107
"8470169",2012,-3.8156,-3.8079
"8470171",2012,1.7661,-2.9268
"8470176",2012,5.4072,3.3578
"8470180",2012,0.1435,1.3189
"8470187",2012,2.4126,1.7265
"8470189",2012,-3.5584,0.5948
"8470192",2012,-3.8439,0.1192
"8470201",2012,0.5099,4.7872
"8470207",2012,3.4109,-5.5847
"8470222",2012,0.5113,-2.0305
"8470230",2012,0.943,-1.2631
"8470232",2012,-2.0425,-1.7362
"8470257",2012,7.5408,3.8994
"8470265",2012,-0.8807,-1.7436
"8470273",2012,-1.6967,1.9256
"8470274",2012,3.6648,0.5347
"8470280",2012,-0.5759,-1.7792
"8470281",2012,1.1937,-3.2917
"8470283",2012,-6.9923,-1.9392
"8470289",2012,-3.3093,-13.5406
"8470294",2012,-0.2884,0.1678
"8470299",2012,-3.113,-2.7659
"8470301",2012,0.235,1.8341
"8470302",2012,0.8646,-3.2487
"8470309",2012,-2.5695,-5.4265
"8470310",2012,-1.6978,1.3221
"8470317",2012,-3.9345,0.3525
"8470318",2012,-0.8113,0.8127
"8470324",2012,-2.8439,-1.9937
"8470329",2012,-2.1063,-2.1482
"8470358",2012,3.5344,4.6683
"8470543",2012,5.9097,3.0234
"8470580",2012,-2.011,-3.0886
"8470595",2012,5.3008,-1.035
"8470596",2012,7.0037,1.443
"8470598",2012,0.4428,-2.4803
"8470599",2012,2.9529,-2.8852
"8470600",2012,-1.0327,0.1016
"8470601",2012,0.337,-2.1959
"8470602",2012,3.2989,-0.9563
"8470603",2012,1.929,-0.4617
"8470604",2012,-1.4145,-3.494
"8470606",2012,2.2324,1.3335
"8470607",2012,3.5586,0.3192
"8470609",2012,-4.006,-1.5831
"8470610",2012,2.4157,0.1253
"8470611",2012,1.0401,2.8974
"8470612",2012,1.3536,1.7078
"8470613",2012,7.2577,-1.5792
"8470614",2012,-0.6987,-2.9348
"8470615",2012,3.1994,4.082
"8470616",2012,4.264,-2.9828
"8470617",2012,-1.4086,-6.593
"8470618",2012,-2.4912,1.5832
"8470619",2012,0.7909,-4.7181
"8470621",2012,2.2083,3.0327
"8470622",2012,3.5573,1.7671
"8470626",2012,-0.0161,1.5686
"8470630",2012,-3.5616,-1.8748
"8470636",2012,0.4822,-0.6663
"8470638",2012,5.2712,-5.1677
"8470640",2012,-0.174,-1.3182
"8470642",2012,2.771,0.8431
"8470644",2012,1.5752,-1.3792
"8470647",2012,-1.7119,4.2575
"8470649",2012,0.4333,-3.7725
"8470654",2012,-3.7168,-2.1451
"8470655",2012,3.398,-2.0802
"8470661",2012,0.1448,-0.1423
"8470662",2012,-2.7542,0.8903
"8470666",2012,0.64,2.8116
"8470667",2012,2.3558,-0.5923
"8470672",2012,-5.9484,-2.8033
"8470678",2012,-0.0661,3.3277
"8470685",2012,1.4999,1.0411
"8470687",2012,-0.4027,0.2142
"8470697",2012,-2.5948,0.8583
"8470699",2012,-2.5448,-2.6288
"8470700",2012,-4.1842,2.3923
"8470708",2012,-3.326,1.9671
"8470713",2012,-0.9986,5.0494
"8470714",2012,0.8347,1.1121
"8470719",2012,0.3238,0.7454
"8470724",2012,2.6162,1.8109
"8470729",2012,-3.3086,4.6511
"8470737",2012,2.422,0.7791
"8470740",2012,4.603,1.6023
"8470750",2012,4.4217,5.9011
"8470755",2012,9.0714,5.1077
"8470760",2012,-4.4951,2.0796
"8470774",2012,1.9748,3.2916
"8470775",2012,-4.6841,1.8419
"8470777",2012,-0.2764,-0.1504
"8470778",2012,-0.4682,4.6405
"8470780",2012,-1.6156,-2.652
"8470794",2012,1.9052,-1.1174
"8470798",2012,1.3713,0.2937
"8470803",2012,4.7876,-5.7095
"8470816",2012,-4.8276,1.3174
"8470828",2012,4.7993,1.6534
"8470834",2012,4.0902,0.7687
"8470838",2012,-0.8123,-0.1292
"8470839",2012,2.7951,2.069
"8470852",2012,-0.9345,-2.9829
"8470854",2012,-3.9209,0.3463
"8470871",2012,-0.433,4.077
"8470877",2012,-0.1667,-1.7027
"8470886",2012,-2.8668,0.2604
"8470896",2012,-0.8926,-0.2539
"8470905",2012,-2.8769,1.4648
"8470920",2012,-2.6592,2.5223
"8470966",2012,2.7906,-1.0805
"8470986",2012,-3.1763,-0.2052
"8470988",2012,-0.139,-1.694
"8471185",2012,0.3229,-0.0476
"8471187",2012,-2.3258,-0.1119
"8471208",2012,4.0693,3.1299
"8471214",2012,0.0071,-3.5404
"8471215",2012,2.6585,1.9423
"8471216",2012,-4.208,-7.0559
"8471217",2012,5.6245,-0.6797
"8471218",2012,5.0716,-1.8508
"8471220",2012,-1.7134,-1.3112
"8471222",2012,-3.2198,-0.6575
"8471226",2012,3.3449,-1.8903
"8471228",2012,1.9551,1.8457
"8471229",2012,-3.485,-0.7523
"8471231",2012,-1.0195,-1.8615
"8471232",2012,1.0534,-8.6981
"8471233",2012,1.5647,-0.5302
"8471234",2012,2.3479,1.0449
"8471236",2012,6.2765,-1.8764
"8471240",2012,-3.4472,-2.3662
"8471241",2012,-4.1031,1.3611
"8471242",2012,1.9638,0.2543
"8471245",2012,-1.8919,-3.2291
"8471254",2012,1.5774,2.2921
"8471260",2012,2.2033,2.55
"8471261",2012,-0.6196,-0.1288
"8471266",2012,6.8366,5.4969
"8471268",2012,-0.8067,-1.1732
"8471269",2012,-7.487,-3.001
"8471273",2012,2.1703,1.784
"8471274",2012,5.4781,4.8325
"8471276",2012,0.3962,-3.6467
"8471279",2012,0.6109,0.7561
"8471280",2012,-2.9136,1.5474
"8471283",2012,-4.8806,0.2994
"8471284",2012,0.4695,2.1658
"8471296",2012,0.6636,-1.2511
"8471299",2012,-0.8763,-0.3602
"8471303",2012,1.857,-0.126
"8471309",2012,2.1832,3.7213
"8471311",2012,7.2871,2.3642
"8471312",2012,-4.8149,0.4129
"8471314",2012,-0.8841,-2.0889
"8471321",2012,1.2732,0.7486
"8471323",2012,0.5969,-1.8376
"8471331",2012,-3.9383,1.9692
"8471338",2012,1.2648,0.9396
"8471339",2012,-1.1352,-1.3324
"8471346",2012,0.9778,2.685
"8471348",2012,-0.4118,1.0118
"8471352",2012,1.8468,3.1071
"8471362",2012,6.666,0.5126
"8471365",2012,-1.8995,3.5847
"8471371",2012,-0.7468,1.6882
"8471385",2012,0.6676,-0.3297
"8471386",2012,-0.8059,-0.8459
"8471388",2012,-2.0607,4.7789
"8471390",2012,3.2153,1.2206
"8471392",2012,-2.0933,-1.3238
"8471402",2012,-6.2789,-1.1554
"8471409",2012,1.2797,-1.5021
"8471419",2012,1.1034,2.9478
"8471426",2012,2.0768,0.0593
"8471428",2012,-0.6529,-0.0231
"8471436",2012,1.2826,0.481
"8471450",2012,-2.2497,-1.7452
"8471451",2012,1.7544,0.5734
"8471476",2012,2.473,1.2578
"8471482",2012,-1.2286,2.5159
"8471483",2012,-1.6582,1.2291
"8471490",2012,0.6202,-0.5825
"8471498",2012,2.6901,1.6649
"8471504",2012,-1.7161,-1.2044
"8471514",2012,1.2682,-2.2891
"8471521",2012,-7.7498,1.8429
"8471634",2012,-0.8562,5.2266
"8471636",2012,-3.2335,5.3312
"8471657",2012,-1.5573,4.5576
"8471663",2012,-4.1829,-2.2667
"8471664",2012,1.1161,-0.1642
"8471668",2012,0.5429,1.3918
"8471669",2012,4.952,-4.3844
"8471670",2012,-0.7401,-3.362
"8471675",2012,4.9464,-0.023
"8471676",2012,1.5896,-1.0629
"8471677",2012,-2.0928,-6.4466
"8471678",2012,6.0922,5.0399
"8471680",2012,1.3086,-0.4023
"8471681",2012,-0.4749,-5.5388
"8471682",2012,1.0724,3.038
"8471683",2012,-4.5114,-0.1397
"8471685",2012,2.6032,1.3404
"8471686",2012,-3.2543,-4.0933
"8471689",2012,-2.4903,0.7484
"8471691",2012,6.3048,0.1845
"8471693",2012,0.9648,2.4729
"8471694",2012,-4.306,-1.7066
"8471697",2012,-1.867,0.5318
"8471698",2012,-2.8639,3.3183
"8471699",2012,1.1335,0.3289
"8471701",2012,-0.8269,-0.125
"8471702",2012,4.8715,2.8069
"8471703",2012,3.437,2.2889
"8471705",2012,-1.2902,-0.8026
"8471707",2012,2.5857,-0.231
"8471709",2012,-1.2174,-1.9509
"8471710",2012,-2.5918,-3.4829
"8471714",2012,-2.1619,-2.1799
"8471716",2012,0.9208,0.1649
"8471717",2012,-0.9723,-2.4226
"8471719",2012,-1.4184,0.5202
"8471724",2012,0.3684,-0.743
"8471729",2012,-1.5088,1.092
"8471730",2012,-0.3954,0.3532
"8471735",2012,4.4571,2.9371
"8471741",2012,-2.1647,-4.5545
"8471742",2012,3.5153,0.4982
"8471743",2012,1.2917,-2.2195
"8471748",2012,0.1138,0.7667
"8471752",2012,5.0024,2.3711
"8471760",2012,-3.1793,-1.9304
"8471761",2012,0.7871,-3.1086
"8471762",2012,-2.1533,1.0987
"8471766",2012,-2.0536,2.8409
"8471767",2012,-2.5312,0.3337
"8471768",2012,-4.9104,-0.8643
"8471769",2012,-4.2658,1.3612
"8471794",2012,5.8219,0.2779
"8471804",2012,-0.3636,0.0842
"8471807",2012,0.7668,4.5012
"8471810",2012,-0.1339,-4.4348
"8471811",2012,-4.8372,-1.3498
"8471816",2012,-0.3033,4.1478
"8471817",2012,-2.4382,6.8891
"8471821",2012,-0.9723,-0.6182
"8471840",2012,-3.3481,0.1406
"8471842",2012,-3.9871,1.4459
"8471846",2012,-2.2299,-2.3978
"8471851",2012,3.5808,2.4657
"8471856",2012,-4.0418,-0.9831
"8471859",2012,-0.8733,1.0253
"8471862",2012,-0.078,0.4405
"8471868",2012,-1.9747,-2.3951
"8471873",2012,-0.3724,1.1382
"8471885",2012,-2.8328,0.5252
"8471887",2012,5.036,3.4704
"8471916",2012,-0.443,0.935
"8471941",2012,-2.1341,-0.7267
"8471956",2012,1.6566,-2.187
"8471958",2012,-0.2314,-1.7334
"8471976",2012,-2.21,-4.7691
"8471978",2012,-1.7794,0.5086
"8471996",2012,-1.0389,0.0454
"8472262",2012,-0.2707,0.4664
"8472355",2012,-0.9161,-1.6692
"8472361",2012,1.6182,1.3347
"8472368",2012,-3.2494,-2.3024
"8472379",2012,-3.0696,-1.0184
"8472382",2012,-1.9286,0.6165
"8472394",2012,-1.3124,1.3317
"8472410",2012,-2.8041,-0.5073
"8472424",2012,-0.7644,-0.3692
"8473412",2012,-0.8078,1.7687
"8473419",2012,5.6044,4.3966
"8473422",2012,2.214,3.7551
"8473426",2012,-1.8316,-0.4625
"8473432",2012,-1.9017,0.7459
"8473444",2012,1.513,0.5697
"8473446",2012,4.3598,-0.1466
"8473449",2012,1.6183,-1.6015
"8473453",2012,-3.9537,1.1019
"8473456",2012,-1.0998,-4.5755
"8473459",2012,-1.751,-1.9332
"8473465",2012,0.5473,1.6304
"8473466",2012,-2.8071,-4.3062
"8473473",2012,3.7248,5.5291
"8473482",2012,-0.6743,-3.8954
"8473484",2012,-0.9718,-7.9537
"8473485",2012,0.9253,-3.4946
"8473492",2012,-1.2474,-0.2671
"8473493",2012,-1.8072,-0.6789
