"category","pos_group","age_int","mean_delta","n","curve_value"
"offence_g","Forwards",37,-0.486299776974085,25,-1.4968294190851
"offence_g","Forwards",38,-0.157164035972261,14,-1.65399345505736
"offence_g","Forwards",39,0.158086329650666,6,-1.49590712540669
"offence_g","Forwards",40,-0.413605745494267,6,-1.90951287090096
"offence_g","Forwards",41,-0.769742571160651,2,-2.67925544206161
"offence_g","Forwards",42,0.293778659941124,2,-2.38547678212048
"offence_g","Forwards",43,-0.222299292156977,1,-2.60777607427746
"offence_xg","Defensemen",18,-0.00171285172544369,8,0.0127985712115417
"offence_xg","Defensemen",19,-0.00825147416703378,34,0.00454709704450796
"offence_xg","Defensemen",20,0.00213531777405944,73,0.0066824148185674
"offence_xg","Defensemen",21,0.000909950326729058,114,0.00759236514529645
"offence_xg","Defensemen",22,-0.00561414460116628,180,0.00197822054413017
"offence_xg","Defensemen",23,0.00644425196275808,205,0.00842247250688825
"offence_xg","Defensemen",24,-0.00284741230197094,211,0.00557506020491731
"offence_xg","Defensemen",25,-0.0071737694625689,222,-0.00159870925765159
"offence_xg","Defensemen",26,-0.00301064069959534,224,-0.00460934995724693
"offence_xg","Defensemen",27,0.00460934995724693,212,0
"offence_xg","Defensemen",28,0.00361263972310904,186,0.00361263972310904
"offence_xg","Defensemen",29,-0.00141657516305802,173,0.00219606456005103
"offence_xg","Defensemen",30,0.000282371733581354,149,0.00247843629363238
"offence_xg","Defensemen",31,-0.00825627764394098,123,-0.0057778413503086
"offence_xg","Defensemen",32,-0.00668208904323268,105,-0.0124599303935413
"offence_xg","Defensemen",33,0.00417173025325669,86,-0.00828820014028458
"offence_xg","Defensemen",34,0.00423309371682669,57,-0.00405510642345789
"offence_xg","Defensemen",35,-0.0160722582243167,43,-0.0201273646477746
"offence_xg","Defensemen",36,0.00511047286955068,30,-0.0150168917782239
"offence_xg","Defensemen",37,0.00852071023569476,18,-0.00649618154252916
"offence_xg","Defensemen",38,0.0311752816710922,9,0.024679100128563
"offence_xg","Defensemen",39,0.0144004306917859,2,0.0390795308203489
"offence_xg","Defensemen",40,-0.0406803897814334,2,-0.00160085896108443
"offence_xg","Defensemen",41,-0.0305557058366992,1,-0.0321565647977837
"offence_xg","Defensemen",42,0.041085406195891,1,0.00892884139810732
"offence_xg","Defensemen",43,-0.00256298360239259,1,0.00636585779571473
