"player_id","season","shot_vol_off_per60","shot_vol_def_per60"
"8477406",2026,-2.4976,-1.7331
"8477407",2026,-0.8125,-5.1274
"8477409",2026,4.5073,1.6397
"8477416",2026,-0.2732,-2.6276
"8477419",2026,-0.3273,-0.8166
"8477425",2026,-0.2001,-4.7274
"8477426",2026,-0.9052,3.1568
"8477429",2026,0.8138,0.0713
"8477435",2026,-1.6267,0.4051
"8477444",2026,3.7484,1.1687
"8477446",2026,-1.8473,1.4238
"8477447",2026,3.7703,2.0848
"8477450",2026,-1.7979,2.6224
"8477451",2026,3.3789,-3.0008
"8477454",2026,-3.8991,4.3496
"8477456",2026,2.911,-3.2693
"8477463",2026,-1.1408,0.8841
"8477476",2026,-0.9089,-2.7467
"8477478",2026,-0.6186,3.5884
"8477479",2026,0.3833,1.7226
"8477488",2026,-1.6986,-1.7494
"8477492",2026,10.1756,1.2171
"8477494",2026,-0.3687,-1.8587
"8477495",2026,-0.9794,0.1846
"8477496",2026,-0.6481,-2.8859
"8477497",2026,4.7582,-0.713
"8477498",2026,1.7228,-3.15
"8477499",2026,-3.2524,0.8025
"8477500",2026,3.2167,-2.6079
"8477501",2026,3.2,-0.8113
"8477503",2026,0.1822,-3.8749
"8477504",2026,-2.7457,0.6947
"8477505",2026,-2.1518,2.0683
"8477506",2026,-4.4494,-6.3498
"8477507",2026,0.9454,-3.0817
"8477508",2026,-3.6252,-4.4956
"8477511",2026,-0.8621,-0.1167
"8477527",2026,-2.2914,4.7407
"8477541",2026,1.5073,1.6904
"8477573",2026,0.258,1.8194
"8477810",2026,1.1641,4.5027
"8477839",2026,0.7137,-0.1415
"8477845",2026,-2.8754,-1.0697
"8477851",2026,-0.4514,0.2154
"8477903",2026,-5.4387,2.8845
"8477919",2026,-2.3635,-3.4778
"8477931",2026,-0.2534,0.1729
"8477932",2026,0.0474,-0.6055
"8477933",2026,-3.0503,1.6374
"8477934",2026,1.5816,-1.6845
"8477935",2026,0.9985,-1.2112
"8477938",2026,-5.0736,-0.7677
"8477939",2026,0.1051,2.3292
"8477940",2026,3.2251,4.3762
"8477942",2026,0.5268,1.4414
"8477946",2026,0.0619,-0.5477
"8477947",2026,1.0902,3.0548
"8477948",2026,1.4258,1.2703
"8477949",2026,3.0182,-2.1286
"8477950",2026,2.2071,1.3965
