season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2022,2,8476483,Rickard,Rakell,R,PIT,70,20,21,41,94.14,55.7398,0,4,29,77,21.731,0,61,531,209.2105,9.9706,3.8903,0.43956023,0.18942921,0.37101056,0.42152359,0.39747855,0.4284,0.3179,0.2537
2022,2,8479661,Tanner,Jeannot,L,NSH,81,24,17,41,90.59,50.2053,0,2,18,25,22.507,7,167,654,195.1583,9.0422,3.6285,0.39193897,0.17009299,0.43796804,0.42152359,0.39747855,0.2282,0.414,0.3577
2022,2,8479977,Kailer,Yamamoto,R,EDM,81,20,21,41,89.12,43.0655,0,0,3,22,22.572,2,99,502,207.8825,9.1273,3.2945,0.42279614,0.18441884,0.39278502,0.42152359,0.39747855,0.3139,0.3608,0.3254
2022,2,8470621,Corey,Perry,R,TBL,82,19,21,40,95.83,45.8337,0,2,12,25,21.999,0,40,353,168.6634,9.1331,3.1454,0.4480864,0.1757298,0.37618381,0.42152359,0.39747855,0.2808,0.3682,0.351
2022,2,8474716,Jared,Spurgeon,D,MIN,65,10,30,40,89.87,62.134,0,0,39,52,22.145,1,65,343,199.6757,8.7147,3.9039,0.44879602,0.17411133,0.37709265,0.41884322,0.4000729,0.3659,0.3358,0.2983
2022,2,8480039,Martin,Necas,C,CAR,78,14,26,40,94.93,57.7788,0,4,25,80,23.951,22,243,723,222.4282,10.5695,4.0053,0.46053969,0.18753968,0.35192063,0.42152359,0.39747855,0.369,0.3041,0.3269
2022,2,8482093,Seth,Jarvis,C,CAR,68,17,23,40,83.93,48.9549,0,0,13,33,22.718,5,96,429,159.2953,10.1301,3.181,0.4679191,0.1910153,0.34106559,0.42152359,0.39747855,0.4239,0.3125,0.2636
2022,2,8474150,Mikael,Backlund,C,CGY,82,12,27,39,97.73,56.1958,0,7,29,70,22.16,1,142,686,234.9418,10.0424,3.7863,0.42244094,0.17512974,0.40242931,0.42152359,0.39747855,0.3389,0.3389,0.3223
2022,2,8475169,Evander,Kane,L,EDM,43,22,17,39,91.4,54.193600000000004,0,1,20,67,23.076,1,72,298,130.4188,9.3561,3.7552,0.44481055,0.18229752,0.37289194,0.42152359,0.39747855,0.3162,0.3607,0.3231
2022,2,8476419,Jean-Gabriel,Pageau,C,NYI,77,18,21,39,89.14,47.5967,0,0,6,24,22.589,4,128,528,213.7194,9.4223,3.4864,0.41031601,0.17690749,0.4127765,0.42152359,0.39747855,0.2637,0.3065,0.4299
2022,2,8476869,Brady,Skjei,D,CAR,82,9,30,39,95.65,67.6141,0,7,65,105,22.401,3,66,343,247.4096,8.5625,3.7043,0.45039917,0.18758382,0.36201701,0.41884322,0.4000729,0.3489,0.3234,0.3277
2022,2,8476885,Jacob,Trouba,D,NYR,81,11,28,39,97.64,67.8338,0,39,81,114,21.919,0,37,229,255.7806,8.4466,3.9206,0.42880063,0.1788723,0.39232707,0.41884322,0.4000729,0.2862,0.371,0.3428
2022,2,8477015,Connor,Brown,R,OTT,64,10,29,39,89.41,48.8795,0,0,2,46,22.47,4,162,647,213.7882,9.993,4.2273,0.40974913,0.17451963,0.41573124,0.42152359,0.39747855,0.2965,0.3518,0.3518
2022,2,8477503,Max,Domi,C,CAR,72,11,28,39,89.15,55.1892,0,0,27,39,22.688,9,83,310,146.6444,9.3747,2.8102,0.41678465,0.18767552,0.39553982,0.42152359,0.39747855,0.3717,0.3235,0.3048
2022,2,8478462,Nicolas,Roy,C,VGK,78,15,24,39,92.65,40.4273,0,1,4,23,21.543,0,44,468,203.1247,9.6142,3.2837,0.43925726,0.1820094,0.37873334,0.42152359,0.39747855,0.3439,0.3234,0.3326
2022,2,8479525,Ross,Colton,C,TBL,79,22,17,39,93.66,52.3411,0,2,21,33,22.701,7,138,557,166.1632,9.8651,2.9342,0.43236857,0.17422391,0.39340752,0.42152359,0.39747855,0.3009,0.36,0.3391
2022,2,8481557,Matt,Boldy,L,MIN,47,15,24,39,89.79,54.0631,0,0,14,37,21.442,0,38,230,116.0024,9.6263,3.159,0.44232748,0.18404866,0.37362385,0.42152359,0.39747855,0.3488,0.3508,0.3004
2022,2,8482222,Alexander,Barabanov,L,SJS,70,10,29,39,85.56,43.497,0,0,3,10,22.381,1,49,512,199.3221,9.9441,3.4577,0.40020179,0.19131253,0.40848568,0.42152359,0.39747855,0.3058,0.3093,0.3849
2022,2,8474037,James,van Riemsdyk,L,PHI,82,24,14,38,89.98,45.8975,0,0,16,36,22.597,2,55,388,195.9206,8.8973,3.1002,0.44023614,0.17556938,0.38419449,0.42152359,0.39747855,0.3152,0.3622,0.3226
2022,2,8475191,Reilly,Smith,R,VGK,56,16,22,38,88.67,51.2795,0,0,18,50,22.511,2,75,466,166.8457,10.0521,3.6024,0.42514217,0.188227,0.38663083,0.42152359,0.39747855,0.364,0.3007,0.3353
2022,2,8477476,Artturi,Lehkonen,L,MTL,74,19,19,38,95.6,51.3292,0,2,23,43,22.453,1,121,539,175.3077,9.4154,3.0502,0.40361376,0.17885766,0.41752858,0.42152359,0.39747855,0.2934,0.3737,0.3329
2022,2,8477949,Alex,Tuch,R,BUF,50,12,26,38,91.72,57.4953,0,3,40,37,22.749,7,132,383,151.9637,9.9062,3.7388,0.41239807,0.18547359,0.40212834,0.42152359,0.39747855,0.3845,0.3442,0.2713
2022,2,8478469,Thomas,Chabot,D,OTT,59,7,31,38,93.3,65.0567,0,2,44,97,21.918,0,52,359,223.0337,8.6596,5.2008,0.44139119,0.17615229,0.38245652,0.41884322,0.4000729,0.3957,0.3074,0.297
2022,2,8479410,Mikhail,Sergachev,D,TBL,78,7,31,38,94.12,70.3694,0,23,69,138,22.986,3,34,277,238.641,8.17,3.9828,0.42331098,0.18072034,0.39596868,0.41884322,0.4000729,0.3504,0.3304,0.3192
2022,2,8479425,Filip,Hronek,D,DET,78,5,33,38,95.11,66.6281,0,10,48,80,22.216,1,60,396,243.7679,8.5129,3.9138,0.40208102,0.17933302,0.41858596,0.41884322,0.4000729,0.2981,0.3523,0.3497
2022,2,8481528,Dylan,Cozens,C,BUF,79,13,25,38,86.8,54.1537,0,0,16,47,22.985,8,162,694,206.1438,9.8516,3.2249,0.41266281,0.18636215,0.40097504,0.42152359,0.39747855,0.3656,0.3526,0.2818
2022,2,8470612,Ryan,Getzlaf,C,ANA,56,3,34,37,97.71,58.6638,0,9,19,35,21.496,0,9,155,153.1645,8.6562,3.4549,0.42833728,0.18165698,0.39000574,0.42152359,0.39747855,0.2818,0.2986,0.4197
2022,2,8473604,Jonathan,Toews,C,CHI,71,12,25,37,84.13,49.0507,0,0,5,44,22.946,4,82,381,199.5045,9.6476,3.5568,0.42737465,0.16998765,0.4026377,0.42152359,0.39747855,0.3255,0.2765,0.398
2022,2,8474157,Max,Pacioretty,L,VGK,39,19,18,37,90.12,60.2185,0,1,54,50,22.608,2,62,204,102.603,9.083,3.2535,0.44757651,0.19597321,0.35645028,0.42152359,0.39747855,0.359,0.3695,0.2715
2022,2,8477504,Josh,Morrissey,D,WPG,79,12,25,37,94.12,66.7995,0,10,83,88,21.704,0,46,356,276.2895,8.8695,4.7002,0.44405266,0.18694056,0.36900679,0.41884322,0.4000729,0.3486,0.3479,0.3035
