season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2023,2,2,NYI,82,42,31,9,93,Eastern,Metropolitan,3676.4082,9.0445,49.4378,23.672,54,1530,7600,0.4098684,0.1736814,0.4164502,0.4111976,0.4111976,101.64,58.427,12,123,476,NA,NA,NA
2023,2,26,LAK,82,47,25,10,104,Western,Pacific,3604.1714,8.8784,48.4095,23.322,65,1440,7005,0.4025313,0.1767819,0.4206868,0.4111976,0.4111976,99.62,58.6474,0,77,541,NA,NA,NA
2023,2,1,NJD,82,52,22,8,112,Eastern,Metropolitan,3734.2066,9.1782,49.9725,23.48,84,1622,7861,0.4127147,0.1872085,0.4000768,0.4111976,0.4111976,97.71,56.0267,0,60,453,NA,NA,NA
2023,2,19,STL,82,37,38,7,81,Western,Central,3674.6464,9.037,47.886,23.522,55,1471,7328,0.403256,0.175939,0.420805,0.4111976,0.4111976,98.97,57.3914,0,99,447,NA,NA,NA
2023,2,18,NSH,82,42,32,8,92,Western,Central,3557.2397,8.7655,48.2268,23.079,21,1105,6786,0.4120543,0.1742062,0.4137395,0.4111976,0.4111976,97.59,56.5455,0,128,435,NA,NA,NA
2023,2,28,SJS,82,22,44,16,60,Western,Pacific,3644.2245,8.9656,50.2371,23.617,56,1516,8080,0.3995259,0.181599,0.418875,0.4111976,0.4111976,100.85,55.354,1,62,369,NA,NA,NA
2023,2,13,FLA,82,42,32,8,92,Eastern,Atlantic,3708.869,9.188,49.9292,23.297,50,1446,7653,0.4300496,0.1800263,0.389924,0.4111976,0.4111976,101.71,57.248,7,156,478,NA,NA,NA
2023,2,52,WPG,82,46,33,3,95,Western,Central,3708.379,9.1655,48.4229,23.238,70,1685,7667,0.4245749,0.1758579,0.3995672,0.4111976,0.4111976,99.54,57.7836,0,65,561,NA,NA,NA
2023,2,55,SEA,82,46,28,8,100,Western,Pacific,3768.0409,9.2916,48.8766,22.895,29,1320,7851,0.4167805,0.1777455,0.405474,0.4111976,0.4111976,99.07,58.8231,0,106,592,NA,NA,NA
2023,2,10,TOR,82,50,21,11,111,Eastern,Atlantic,3713.6442,9.179,48.8642,23.007,65,1780,8236,0.4179741,0.1734608,0.408565,0.4111976,0.4111976,97.37,54.6795,0,51,374,NA,NA,NA
2023,2,20,CGY,82,38,27,17,93,Western,Pacific,3861.1712,9.5091,51.2168,23.73,37,1610,8475,0.432293,0.1812608,0.3864462,0.4111976,0.4111976,101.5,58.1382,6,145,555,NA,NA,NA
2023,2,3,NYR,82,47,22,13,107,Eastern,Metropolitan,3698.7261,9.08,48.6159,23.502,93,1575,7335,0.4159782,0.1766868,0.407335,0.4111976,0.4111976,98.62,57.1539,0,76,422,NA,NA,NA
2023,2,16,CHI,82,26,49,7,59,Western,Central,3693.1547,9.0926,48.549,24.176,75,1475,7590,0.3859013,0.1777298,0.4363689,0.4111976,0.4111976,97.46,56.7939,0,32,389,NA,NA,NA
2023,2,23,VAN,82,38,37,7,83,Western,Pacific,3650.485,8.9567,48.6468,23.305,54,1580,7745,0.4171796,0.1724173,0.4104031,0.4111976,0.4111976,98.81,57.8686,0,77,529,NA,NA,NA
2023,2,53,PHX,82,28,40,14,70,Western,Central,3671.4397,9.0729,48.7475,23.123,29,1183,7089,0.3812859,0.1785675,0.4401466,0.4111976,0.4111976,99.53,56.2105,0,35,327,NA,NA,NA
