"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8476410","CGY",38,402,326,27,25,6,3,0,0,8,7,5,2,2,19.0930246956996,14.836938989989,5,5,22664,572,1240,55.2,4.29,3.97,1.43,0,23.23,-0.6,12.59,5.81,3.033,2.357,24476,0.74,0.74,0
"8476460","WPG",61,960,995,66,70,14,25,0,0,19,0,62,0,3,45.7768993981299,54.9709446170309,7,16,64542,1415,8716,49.1,3.68,3.9,2.18,0,7.85,0.6935,0,1.24,2.553,3.066,74673,0.34,0.77,0.43
"8476470","WPG",25,323,382,18,29,0,1,0,0,9,7,3,0,0,14.0100742966169,19.7947290820593,5,1,21766,2364,485,45.8,2.98,4.8,0.17,0,66.8,-2,0,0,2.317,3.274,24615,0.73,0.15,-0.58
"8476945","WPG",53,2169,2432,104,91,0,0,0,0,27,50,71,2,3,90.4476022646122,114.852631817688,0,2,157448,12710,12970,47.1,2.38,2.08,0,0,7.49,0.6197,0.57,0.83,2.068,2.626,183128,0,0.04,0.04
"8477359","WPG",47,686,786,36,43,1,2,0,0,15,15,2,0,0,29.9876636354893,38.0794545396348,1,6,46866,4181,857,46.6,2.77,3.3,0.23,0,63.01,-6.5,0,0,2.303,2.925,51904,0.07,0.42,0.35
"8477429","WPG",63,820,872,56,53,6,16,0,1,16,45,37,3,4,36.9915733502421,43.8798199027078,12,12,54021,6895,7048,48.5,3.73,3.53,1.47,0.52,8.17,0.5676,1.57,2.04,2.465,2.924,67964,0.64,0.64,0
"8477496","CGY",56,765,715,56,47,11,14,0,1,22,38,58,3,5,34.4603730590316,33.7030942465935,11,12,49404,6065,7804,51.7,4.08,3.42,1.82,0.59,10.15,0.6207,1.78,2.31,2.511,2.456,63273,0.63,0.68,0.05
"8477497","CGY",50,613,630,44,42,5,11,0,0,11,22,53,2,5,29.2856352397939,28.7277376065031,5,7,41029,2725,6453,49.3,3.86,3.69,1.4,0,6.14,0.7925,2.64,2.79,2.57,2.521,50207,0.36,0.5,0.14
"8477504","WPG",64,1087,1303,69,65,3,8,0,0,22,21,59,0,5,49.6336159644125,64.6305218664347,12,2,75132,4818,8670,45.5,3.31,3.11,0.53,0,9.13,0.6271,0,2.08,2.378,3.097,88620,0.49,0.08,-0.41
"8477935","CGY",53,712,589,56,58,8,18,0,0,14,18,27,1,4,34.9410444703535,27.5596899329685,15,11,38182,3416,4252,54.7,5.28,5.47,2.45,0,11.85,0.4815,1.05,3.39,3.294,2.598,45850,1.18,0.86,-0.32
