"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8477839","NYR",44,519,551,31,35,6,5,0,2,1,76,47,13,6,7,11,32576,2985,1427,48.5,3.43,3.87,1.22,2.41,2.52,0.9787,15.68,15.14,36988,0.68,1.07,0.39
"8478048","NYR",33,1513,1483,58,52,0,0,0,0,3,289,274,25,19,3,4,98047,9131,8967,50.5,2.13,1.91,0,0,1.2,0.9891,9.86,7.63,116145,0.09,0.12,0.03
"8478438","PIT",55,732,716,70,60,8,16,1,1,3,97,9,12,9,11,7,41554,4384,537,50.6,6.06,5.2,2.08,1.64,20.11,0.6667,9.85,60.34,46475,0.85,0.54,-0.31
"8478450","PIT",53,954,873,66,80,2,15,0,0,1,7,215,5,17,21,17,56235,913,5644,52.2,4.23,5.12,1.09,0,0.64,0.9953,19.72,10.84,62792,1.2,0.97,-0.23
"8478452","PIT",4,52,69,3,4,0,1,0,0,0,1,10,1,2,0,1,3497,90,341,43,3.09,4.12,1.03,0,0,1,40,21.11,3928,0,0.92,0.92
"8478550","NYR",52,883,769,59,44,11,17,4,10,6,385,12,21,11,10,18,51092,9699,811,53.5,4.16,3.1,1.97,5.2,26.63,0.5,7.79,48.83,61602,0.58,1.05,0.47
"8478569","PIT",49,488,531,50,47,11,6,0,0,1,22,247,18,24,6,7,32273,849,5860,47.9,5.58,5.24,1.9,0,0.61,0.996,76.33,14.74,38982,0.55,0.65,0.1
"8478840","NYR",49,644,746,43,56,2,5,0,0,0,9,202,9,20,18,11,44742,648,5693,46.3,3.46,4.51,0.56,0,0,1,50,12.65,51083,1.27,0.78,-0.49
"8478854","PIT",53,849,856,82,63,2,20,0,0,1,23,225,16,29,7,13,50359,1510,6782,49.8,5.86,4.5,1.57,0,0.53,0.9956,38.15,15.39,58651,0.43,0.8,0.37
"8478882","NYR",51,951,963,54,57,6,6,3,1,3,87,212,25,17,24,8,59699,3976,6567,49.7,3.26,3.44,0.72,3.62,1.64,0.9858,22.64,9.32,70242,1.23,0.41,-0.82
"8479323","NYR",32,641,519,38,33,2,10,5,13,0,235,46,21,10,10,7,36032,5683,2218,55.3,3.8,3.3,1.2,11.4,0,1,13.3,16.23,43933,0.82,0.57,-0.25
"8479390","NYR",37,363,389,25,22,5,5,0,1,1,30,63,10,7,6,3,22544,1549,1787,48.3,3.99,3.51,1.6,2.32,2.01,0.9841,23.24,14.1,25880,0.83,0.42,-0.41
"8479638","PIT",43,507,465,60,42,11,6,2,1,3,60,6,11,6,7,10,28272,3147,315,52.2,7.64,5.35,2.16,3.43,34.29,0.5,12.58,68.57,31734,0.79,1.13,0.34
"8480001","NYR",21,266,244,14,19,0,2,0,0,0,2,34,2,7,7,3,15943,70,1068,52.2,3.16,4.29,0.45,0,0,1,102.86,23.6,17081,1.48,0.63,-0.85
"8480980","PIT",51,520,549,55,46,5,10,0,0,1,20,257,19,19,8,20,34303,928,6422,48.6,5.77,4.83,1.57,0,0.56,0.9961,73.71,10.65,41653,0.69,1.73,1.04
"8481481","PIT",29,314,301,28,24,3,7,0,0,0,14,126,14,7,10,10,18676,636,4012,51.1,5.4,4.63,1.93,0,0,1,79.25,6.28,23324,1.54,1.54,0
"8481577","PIT",6,74,83,6,6,0,1,0,0,0,1,0,1,0,0,0,4543,47,15,47.1,4.75,4.75,0.79,0,0,NA,76.6,0,4605,0,0,0
"8481668","PIT",27,1260,1207,68,63,0,2,0,0,3,179,229,15,13,2,3,79231,6666,7499,51.1,3.09,2.86,0.09,0,1.44,0.9869,8.1,6.24,93396,0.08,0.12,0.04
"8481726","NYR",21,199,211,14,9,1,2,0,0,0,5,8,5,4,1,2,11721,236,170,48.5,4.3,2.76,0.92,0,0,1,76.27,84.71,12127,0.3,0.59,0.29
"8482073","NYR",51,787,922,50,65,1,12,0,0,1,44,221,24,19,13,9,53580,2303,6196,46.1,3.36,4.37,0.87,0,0.58,0.9955,37.52,11.04,62079,0.75,0.52,-0.23
"8482109","NYR",51,747,673,48,41,10,14,7,4,3,258,12,26,12,10,15,45114,6904,870,52.6,3.83,3.27,1.92,5.74,12.41,0.75,13.56,49.66,52888,0.68,1.02,0.34
"8482157","NYR",51,616,642,41,43,7,5,2,4,3,142,112,21,11,25,18,40228,4885,3642,49,3.67,3.85,1.07,4.42,2.97,0.9732,15.48,10.87,48755,1.85,1.33,-0.52
"8482460","NYR",16,141,99,10,8,1,0,0,0,0,11,1,3,1,3,3,7325,480,15,58.8,4.91,3.93,0.49,0,0,1,22.5,240,7820,1.38,1.38,0
"8482758","PIT",28,370,291,27,27,0,2,1,2,0,41,3,6,3,5,4,19549,1786,255,56,4.97,4.97,0.37,6.05,0,1,12.09,42.35,21590,0.83,0.67,-0.16
"8483690","NYR",46,460,522,28,33,2,9,3,2,3,58,94,19,14,13,11,30256,2619,3110,46.8,3.33,3.93,1.31,6.87,3.47,0.9681,26.12,16.21,35985,1.3,1.1,-0.2
"8484839","PIT",5,75,59,4,9,1,0,0,0,0,2,2,1,2,3,2,4046,192,114,56,3.56,8.01,0.89,0,0,1,18.75,63.16,4352,2.48,1.65,-0.83
"8485414","PIT",53,653,591,64,58,7,6,2,2,3,158,57,16,12,9,18,36811,5880,2408,52.5,6.26,5.67,1.27,2.45,4.49,0.9474,9.8,17.94,45099,0.72,1.44,0.72
"8470613","COL",63,1218,931,80,61,6,15,0,1,4,58,226,12,18,19,8,56573,3221,7437,56.7,5.09,3.88,1.34,1.12,1.94,0.9823,13.41,8.71,67231,1.02,0.43,-0.59
"8471685","LAK",50,722,677,51,30,5,13,2,6,3,252,79,13,22,5,10,44833,6593,2614,51.6,4.1,2.41,1.45,4.37,4.13,0.962,7.1,30.3,54040,0.33,0.67,0.34
"8474563","LAK",53,1007,906,52,52,3,7,0,1,5,172,134,12,37,20,6,58964,5794,4922,52.6,3.17,3.17,0.61,0.62,3.66,0.9627,7.46,27.06,69680,1.03,0.31,-0.72
"8475208","LAK",54,822,827,45,48,1,6,0,0,0,25,87,14,18,12,6,49083,1248,3896,49.8,3.3,3.52,0.51,0,0,1,40.38,16.63,54227,0.8,0.4,-0.4
"8475311","LAK",30,1491,1257,58,44,0,0,0,1,4,254,186,13,23,3,0,87086,7733,7814,54.3,2.4,1.82,0,0.47,1.84,0.9785,6.05,10.6,102633,0.11,0,-0.11
"8475754","COL",62,1045,778,76,57,9,13,5,8,4,307,183,28,13,23,19,52734,8568,5828,57.3,5.19,3.89,1.5,5.46,2.47,0.9781,11.76,8.03,67130,1.23,1.02,-0.21
"8475809","COL",37,1863,1442,86,51,0,0,0,0,5,308,260,16,12,1,6,96066,10152,9176,56.4,3.22,1.91,0,0,1.96,0.9808,5.67,4.71,115394,0.03,0.19,0.16
"8476312","COL",57,1050,753,68,52,0,21,0,0,0,12,159,10,15,37,17,50657,529,5694,58.2,4.83,3.7,1.49,0,0,1,68.05,9.48,56880,2.34,1.08,-1.26
"8476441","LAK",54,880,868,56,52,1,7,0,1,0,3,210,1,33,10,8,50548,484,6006,50.3,3.99,3.7,0.57,7.44,0,1,7.44,19.78,57038,0.63,0.5,-0.13
