season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2025,2,15,WSH,82,51,22,9,111,Eastern,Metropolitan,3657.5479,9.0171,48.2712,23.341,97,1688,7663,0.3948485,0.1752379,0.4299136,0.410504,0.410504,99.55,62.6871,0,105,495,NA,NA,NA
2025,2,54,VGK,82,50,22,10,110,Western,Pacific,3744.2921,9.17,49.2444,23.496,81,1449,7139,0.4158851,0.1846814,0.3994334,0.410504,0.410504,98.59,61.5636,0,49,428,NA,NA,NA
2025,2,22,EDM,82,48,29,5,101,Western,Pacific,3739.6718,9.2069,48.8317,24.359,174,2076,8440,0.4291742,0.1731538,0.397672,0.410504,0.410504,98.96,61.1464,0,136,452,NA,NA,NA
2025,2,59,UTA,82,38,31,13,89,Western,Central,3756.1424,9.245,49.4961,23.29,77,1725,8107,0.4099686,0.1837407,0.4062907,0.410504,0.410504,103.77,60.8436,1,53,409,NA,NA,NA
2025,2,17,DET,82,39,35,8,86,Eastern,Atlantic,3780.7833,9.2726,49.7414,23.294,44,1626,7883,0.4048176,0.1746694,0.4205131,0.410504,0.410504,100.65,60.8251,1,47,339,NA,NA,NA
2025,2,29,CBJ,82,40,33,9,89,Eastern,Metropolitan,3769.0951,9.2626,50.4709,23.463,95,1809,8266,0.3895847,0.1821989,0.4282164,0.410504,0.410504,96.31,60.5378,0,21,362,NA,NA,NA
2025,2,24,ANA,82,35,37,10,80,Western,Pacific,3688.0445,9.077,48.5711,23.751,94,1676,7875,0.3855595,0.174937,0.4395034,0.410504,0.410504,101.24,61.713,2,44,366,NA,NA,NA
2025,2,2,NYI,82,35,35,12,82,Eastern,Metropolitan,3755.721,9.1945,49.1851,23.525,79,1864,8166,0.4024195,0.1722399,0.4253406,0.410504,0.410504,101.34,60.5851,4,54,365,NA,NA,NA
2025,2,26,LAK,82,48,25,9,105,Western,Pacific,3741.3686,9.2366,49.1183,23.402,75,1537,7847,0.4072334,0.1857468,0.4070198,0.410504,0.410504,97.39,62.0734,0,55,510,NA,NA,NA
2025,2,1,NJD,82,42,33,7,91,Eastern,Metropolitan,3758.9839,9.2685,48.9621,23.583,78,1525,7775,0.411671,0.1814732,0.4068558,0.410504,0.410504,98.61,59.1766,0,22,289,NA,NA,NA
2025,2,19,STL,82,44,30,8,96,Western,Central,3756.5302,9.208,49.2303,23.476,79,1661,7788,0.4158059,0.1797345,0.4044596,0.410504,0.410504,102.3,61.4112,1,56,359,NA,NA,NA
2025,2,18,NSH,82,30,44,8,68,Western,Central,3748.0075,9.2603,49.2835,24.205,46,1335,7995,0.4286026,0.1864219,0.3849755,0.410504,0.410504,97.77,60.6164,0,46,402,NA,NA,NA
2025,2,28,SJS,82,20,50,12,52,Western,Pacific,3656.4458,9,49.165,23.125,46,1612,7944,0.3945065,0.1749554,0.4305381,0.410504,0.410504,98.9,61.9586,0,54,380,NA,NA,NA
2025,2,13,FLA,82,47,31,4,98,Eastern,Atlantic,3783.9993,9.341,51.0058,23.415,48,1697,8230,0.4388513,0.1767766,0.3843721,0.410504,0.410504,105.05,60.1685,2,44,327,NA,NA,NA
2025,2,52,WPG,82,56,22,4,116,Western,Central,3769.9417,9.2823,50.1217,24.471,94,1567,7530,0.4120536,0.1768346,0.4111117,0.410504,0.410504,103.08,61.1676,2,61,406,NA,NA,NA
2025,2,55,SEA,82,35,41,6,76,Western,Pacific,3751.5293,9.213,49.5542,23.515,42,1617,8077,0.4011439,0.1764715,0.4223846,0.410504,0.410504,99.58,63.3596,0,74,526,NA,NA,NA
2025,2,10,TOR,82,52,26,4,108,Eastern,Atlantic,3730.8429,9.2046,49.6428,23.673,78,1599,7779,0.400854,0.1780814,0.4210646,0.410504,0.410504,100.37,60.5777,1,41,357,NA,NA,NA
2025,2,20,CGY,82,41,27,14,96,Western,Pacific,3801.8382,9.328,50.2194,24.055,43,1325,7591,0.4166404,0.1833529,0.4000067,0.410504,0.410504,97.18,60.6108,0,36,351,NA,NA,NA
2025,2,3,NYR,82,39,36,7,85,Eastern,Metropolitan,3721.907,9.1959,49.6672,23.987,63,1558,7819,0.4002586,0.1797516,0.4199897,0.410504,0.410504,99.29,61.0157,0,35,312,NA,NA,NA
2025,2,16,CHI,82,25,46,11,61,Western,Central,3722.1999,9.1629,48.4306,23.293,66,1318,6912,0.388002,0.1786369,0.4333611,0.410504,0.410504,101.92,61.2001,1,32,338,NA,NA,NA
2025,2,23,VAN,82,38,30,14,90,Western,Pacific,3740.0075,9.1851,49.4984,24.561,41,1322,7506,0.4138786,0.175673,0.4104484,0.410504,0.410504,101.06,61.6303,1,69,400,NA,NA,NA
